frame,time_seconds,left_channel,right_channel
0,0.000000000,-0.000000000,-0.000000000
1,0.000022676,-0.000000000,-0.000000000
2,0.000045351,-0.000000000,-0.000000000
3,0.000068027,-0.000000001,-0.000000000
4,0.000090703,-0.000000001,-0.000000000
5,0.000113379,-0.000000002,-0.000000000
6,0.000136054,-0.000000003,-0.000000000
7,0.000158730,-0.000000004,-0.000000000
8,0.000181406,-0.000000005,-0.000000000
9,0.000204082,-0.000000007,-0.000000000
10,0.000226757,-0.000000009,-0.000000000
11,0.000249433,-0.000000011,-0.000000000
12,0.000272109,-0.000000014,-0.000000000
13,0.000294785,-0.000000017,-0.000000000
14,0.000317460,-0.000000021,-0.000000000
15,0.000340136,-0.000000025,-0.000000000
16,0.000362812,-0.000000030,-0.000000000
17,0.000385488,-0.000000035,-0.000000000
18,0.000408163,-0.000000041,-0.000000000
19,0.000430839,-0.000000047,-0.000000000
20,0.000453515,-0.000000054,-0.000000000
21,0.000476190,-0.000000062,-0.000000000
22,0.000498866,-0.000000070,-0.000000000
23,0.000521542,-0.000000079,-0.000000000
24,0.000544218,-0.000000079,-0.000000000
25,0.000566893,-0.000000078,-0.000000000
26,0.000589569,-0.000000078,-0.000000000
27,0.000612245,-0.000000077,-0.000000000
28,0.000634921,-0.000000076,-0.000000000
29,0.000657596,-0.000000075,-0.000000000
30,0.000680272,-0.000000073,-0.000000000
31,0.000702948,-0.000000071,-0.000000000
32,0.000725624,-0.000000069,-0.000000000
33,0.000748299,-0.000000066,-0.000000000
34,0.000770975,-0.000000063,-0.000000000
35,0.000793651,-0.000000060,-0.000000000
36,0.000816327,-0.000000056,-0.000000000
37,0.000839002,-0.000000052,-0.000000000
38,0.000861678,-0.000000048,-0.000000000
39,0.000884354,-0.000000044,-0.000000000
40,0.000907029,-0.000000039,-0.000000000
41,0.000929705,-0.000000033,-0.000000000
42,0.000952381,-0.000000028,-0.000000000
43,0.000975057,-0.000000022,-0.000000000
44,0.000997732,-0.000000015,-0.000000000
45,0.001020408,-0.000000009,-0.000000000
46,0.001043084,-0.000000002,0.000000000
47,0.001065760,0.000000005,0.000000000
48,0.001088435,0.000000013,0.000000000
49,0.001111111,0.000000021,0.000000000
50,0.001133787,0.000000029,0.000000000
51,0.001156463,0.000000037,0.000000000
52,0.001179138,0.000000045,0.000000000
53,0.001201814,0.000000054,0.000000000
54,0.001224490,0.000000063,0.000000000
55,0.001247166,0.000000071,0.000000000
56,0.001269841,0.000000080,0.000000000
57,0.001292517,0.000000089,0.000000000
58,0.001315193,0.000000098,0.000000000
59,0.001337868,0.000000107,0.000000000
60,0.001360544,0.000000116,0.000000000
61,0.001383220,0.000000125,0.000000000
62,0.001405896,0.000000134,0.000000000
63,0.001428571,0.000000142,0.000000000
64,0.001451247,0.000000150,0.000000000
65,0.001473923,0.000000158,0.000000000
66,0.001496599,0.000000165,0.000000000
67,0.001519274,0.000000173,0.000000000
68,0.001541950,0.000000179,0.000000000
69,0.001564626,0.000000185,0.000000000
70,0.001587302,0.000000191,0.000000000
71,0.001609977,0.000000196,0.000000000
72,0.001632653,0.000000200,0.000000000
73,0.001655329,0.000000203,0.000000000
74,0.001678005,0.000000289,0.000000000
75,0.001700680,0.000000377,0.000000000
76,0.001723356,0.000000469,0.000000000
77,0.001746032,0.000000563,0.000000000
78,0.001768707,0.000000659,0.000000000
79,0.001791383,0.000000757,0.000000000
80,0.001814059,0.000000857,0.000000000
81,0.001836735,0.000000959,0.000000000
82,0.001859410,0.000001062,0.000000000
83,0.001882086,0.000001166,0.000000000
84,0.001904762,0.000001270,0.000000000
85,0.001927438,0.000001375,0.000000000
86,0.001950113,0.000001480,0.000000000
87,0.001972789,0.000001584,0.000000000
88,0.001995465,0.000001688,0.000000000
89,0.002018141,0.000001791,0.000000000
90,0.002040816,0.000001892,0.000000000
91,0.002063492,0.000001992,0.000000000
92,0.002086168,0.000002089,0.000000000
93,0.002108844,0.000002184,0.000000000
94,0.002131519,0.000002275,0.000000000
95,0.002154195,0.000002364,0.000000000
96,0.002176871,0.000002448,0.000000000
97,0.002199546,0.000002528,0.000000000
98,0.002222222,0.000002603,0.000000000
99,0.002244898,0.000002380,0.000000000
100,0.002267574,0.000002140,0.000000000
